                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                 ALL DAY AND NIGHT                                         Jax Jones
                                   ALL EYES ON YOU                                         Meek Mill
                                    ALL FALLS DOWN                                        Kanye West
                                       ALL FOR YOU                                     Janet Jackson
                                   ALL I DO IS WIN                                         Dj Khaled
                                 ALL I EVER WANTED                                        Basshunter
                                        ALL I HAVE                                    Jennifer Lopez
                                        ALL I WANT                                               Mis
                                    ALL IN MY HEAD                                     Fifth Harmony
                                         ALL NIGHT                                         The Vamps
                                         ALL OF ME                                       John Legend
                                 ALL OF THE LIGHTS                                        Kanye West
                                          ALL RISE                                              Blue
                               ALL THE RIGHT MOVES                                       Onerepublic
                              ALL THE SMALL THINGS                                         Blink 182
                                     ALL THE STARS                                    Kendrick Lamar
                           ALL THE THINGS SHE SAID                                          T.a.t.u.
                                      ALL TIME LOW                                        The Wanted
                                      ALL TIME LOW                                       Jon Bellion
                                    ALL YOU WANTED                                   Michelle Branch
                                       ALMOST HERE                                    Brian Mcfadden
                                             ALONE                                        Marshmello
                                    ALORS ON DANSE                                           Stromae
                                      ALREADY GONE                                    Kelly Clarkson
                                    ALWAYS ON TIME                                           Ja Rule
                                        AM I WRONG                                       Nico & Vinz
                                          AM TO PM                                  Christina Milian
                                           AMAZING                                    George Michael
                                           AMERICA                                        Razorlight
                                      AMERICAN BOY                                           Estelle
                                    AMERICAN IDIOT                                         Green Day
                                      AMERICAN PIE                                           Madonna
                                          ANACONDA                                       Nicki Minaj
                                             ANGEL                                      Amanda Perez
                                            ANIMAL                                        Neon Trees
                                           ANIMALS                                     Martin Garrix
                                           ANIMALS                                          Maroon 5
                                    ANOTHER CHANCE                                     Roger Sanchez
                           ANOTHER DAY IN PARADISE                                            Brandy
                                      ANOTHER LOVE                                         Tom Odell
                                ANOTHER WAY TO DIE                                        Jack White
                                       ANSWERPHONE                                       Banx & Ranx
                                          ANTIDOTE                                      Travis Scott
                                        ANTISOCIAL                                        Ed Sheeran
                                      ANYONE OF US                                      Gareth Gates
                                          ANYWHERE                                          Rita Ora
                                         APOLOGIZE                                         Timbaland
                                   ARE YOU WITH ME                                  Lost Frequencies
                             AS GOOD AS I ONCE WAS                                        Toby Keith
                            AS LONG AS YOU LOVE ME                                     Justin Bieber
                                     ASS BACK HOME                                  Gym Class Heroes
                                     ASS LIKE THAT                                            Eminem
                                         ATTENTION                                      Charlie Puth
                                            AXEL F                                        Crazy Frog
                                               AYO                                       Chris Brown
                                    AYO TECHNOLOGY                                           50 Cent
                                              BABY                                           Ashanti
                                              BABY                                     Justin Bieber
                                   BABY - I'M BACK                                         Baby Bash
                                          BABY BOY                                           Beyonce
                                     BACK TO BLACK                                     Amy Winehouse
                                  BACK TO DECEMBER                                      Taylor Swift
                                               BAD                                              Wale
                                               BAD                                      David Guetta
                                    BAD AND BOUJEE                                             Migos
                                       BAD AT LOVE                                            Halsey
                                         BAD BLOOD                                      Taylor Swift
                                         BAD BLOOD                                      Taylor Swift
                                          BAD BOYS                                   Alexandra Burke
                                           BAD DAY                                     Daniel Powter
                                           BAD GUY                                     Billie Eilish
                                       BAD ROMANCE                                         Lady Gaga
                                       BAD ROMANCE                                         Lady Gaga
                                          BAD VIBE                                               M.o
                                          BAG LADY                                       Erykah Badu
                                          BAILANDO                                  Enrique Iglesias
                                           BANANZA                                              Akon
                                         BANG BANG                                          Jessie J
                                      BANG MY HEAD                                      David Guetta
                                         BANGARANG                                          Skrillex
                                      BANK ACCOUNT                                         21 Savage
                                  BARBRA STREISAND                                        Duck Sauce
                                         BARTENDER                                                 T
                                      BATTLE SCARS                                     Guy Sebastian
                                       BATTLEFIELD                                     Jordin Sparks
                                        BE ALRIGHT                                        Dean Lewis
                                       BE FAITHFUL                                      Fatman Scoop
                                       BE WITH YOU                                  Enrique Iglesias
                                    BE WITHOUT YOU                                     Mary J. Blige
                                        BEAT AGAIN                                               Jls
                                         BEAUTIFUL                                        Snoop Dogg
                                         BEAUTIFUL                                              Akon
                                   BEAUTIFUL GIRLS                                     Sean Kingston
                                    BEAUTIFUL LIAR                                           Beyonce
                                 BEAUTIFUL MONSTER                                                Ne
                                  BEAUTIFUL PEOPLE                                       Chris Brown
                                 BEAUTY AND A BEAT                                     Justin Bieber
                                BECAUSE I GOT HIGH                                           Afroman
                                    BECAUSE OF YOU                                    Kelly Clarkson
                                    BECAUSE OF YOU                                                Ne
                                               BED                                        J. Holiday
                                       BED OF LIES                                       Nicki Minaj
                                           BEDROCK                                       Young Money
                                              BEEP                                The Pussycat Dolls
                                  BEFORE HE CHEATS                                  Carrie Underwood
                                            BEGGIN                                            Madcon
                                  BEHIND BLUE EYES                                       Limp Bizkit
                           BEHIND THESE HAZEL EYES                                    Kelly Clarkson
                                          BELIEVER                                   Imagine Dragons
                                              BENT                                   Matchbox Twenty
                                           BERZERK                                            Eminem
                                   BEST I EVER HAD                                             Drake
                                       BEST OF YOU                                      Foo Fighters
                                    BEST SONG EVER                                     One Direction
                            BEST THING I NEVER HAD                                           Beyonce
                                            BETTER                                            Khalid
                                    BETTER IN TIME                                       Leona Lewis
                                        BETTER NOW                                       Post Malone
                                        BETTER NOW                                       Post Malone
                                  BETTER OFF ALONE                                      Alice Deejay
                                    BETTER THAN ME                                            Hinder
                                          BIG BANK                                                Yg
                               BIG GIRLS DON'T CRY                                            Fergie
                                 BIG GREEN TRACTOR                                      Jason Aldean
                                       BIG PIMPIN'                                               Jay
                                   BIG YELLOW TAXI                                    Counting Crows
                                       BILLIONAIRE                                      Travie Mccoy
                                      BIRTHDAY SEX                                           Jeremih
                        BITCH BETTER HAVE MY MONEY                                           Rihanna
                                      BLACK & GOLD                                        Sam Sparro
                                  BLACK AND YELLOW                                       Wiz Khalifa
                                     BLACK BEATLES                                      Rae Sremmurd
                                       BLACK BETTY                                        Spiderbait
                   BLACK HORSE AND THE CHERRY TREE                                       Kt Tunstall
                                       BLACK MAGIC                                        Little Mix
                                    BLACK SKINHEAD                                        Kanye West
                                       BLACK WIDOW                                       Iggy Azalea
                                    BLAH BLAH BLAH                                             Kesha
                                             BLAME                                     Calvin Harris
                                          BLAME IT                                        Jamie Foxx
                                       BLANK SPACE                                      Taylor Swift
                                      BLEED IT OUT                                       Linkin Park
                                     BLEEDING LOVE                                       Leona Lewis
                                       BLIND FAITH                                    Chase & Status
                                              BLOW                                             Kesha
                                        BLOWN AWAY                                  Carrie Underwood
                                     BLURRED LINES                                      Robin Thicke
                                            BLURRY                                    Puddle Of Mudd
                                            BOASTY                                             Wiley
                                      BODAK YELLOW                                           Cardi B
                                      BODAK YELLOW                                           Cardi B
                                              BODY                                       Loud Luxury
                                        BODY PARTY                                             Ciara
                                     BONFIRE HEART                                       James Blunt
                                           BONKERS                                     Dizzee Rascal
                                     BOOM BOOM POW                                   Black Eyed Peas
                                         BOOM CLAP                                        Charli Xcx
                                      BOOTYLICIOUS                                   Destiny's Child
                                             BORED                                     Billie Eilish
                                     BORN THIS WAY                                         Lady Gaga
                                       BORN TO DIE                                      Lana Del Rey
                            BORN TO MAKE YOU HAPPY                                    Britney Spears
                                       BORN TO TRY                                     Delta Goodrem
                                             BOSSY                                             Kelis
                                        BOTTOMS UP                                        Trey Songz
                        BOULEVARD OF BROKEN DREAMS                                         Green Day
                                            BOUNCE                                     Calvin Harris
                                       BOUNCE BACK                                          Big Sean
                                    BOUNCE WITH ME                                           Bow Wow
                                      BOY WITH LUV                                               Bts
                                         BOYFRIEND                                     Justin Bieber
                                         BOYFRIEND                                     Ariana Grande
                                        BREAK FREE                                     Ariana Grande
                                     BREAK THE ICE                                    Britney Spears
                                          BREAK UP                                             Mario
         BREAK UP WITH YOUR GIRLFRIEND - I'M BORED                                     Ariana Grande
                                  BREAK YOUR HEART                                         Taio Cruz
                              BREAKFAST IN AMERICA                                  Gym Class Heroes
                                BREAKING THE HABIT                                       Linkin Park
                                           BREATHE                                        Faith Hill
                                           BREATHE                                         Jax Jones
                                           BREATHE                                         Jax Jones
                                        BREATHLESS                                         The Corrs
                                      BREEZEBLOCKS                                               Alt
                                        BRIANSTORM                                    Arctic Monkeys
                                      BRING EM OUT                                              T.i.
                                  BRING ME TO LIFE                                       Evanescence
                                    BROKEN STRINGS                                    James Morrison
                                    BROKEN STRINGS                                    James Morrison
                                       BULLETPROOF                                           La Roux
                                BUMP - BUMP - BUMP                                               B2k
                                              BURN                                    Ellie Goulding
                                              BURN                                    Ellie Goulding
                                      BURN IT DOWN                                       Linkin Park
                                        BURNIN' UP                                    Jonas Brothers
                                     BURY A FRIEND                                     Billie Eilish
                              BUST IT BABY - PT. 2                                             Plies
                                         BUTTERFLY                                        Crazy Town
                                  BUTTERFLY EFFECT                                      Travis Scott
                                           BUTTONS                                The Pussycat Dolls
                                     BUY U A DRANK                                                 T
                                      BUZZIN REMIX                                              Mann
                                        BY THE WAY                             Red Hot Chili Peppers
                                       BYE BYE BYE                                            *nsync
                                             C'MON                                             Kesha
                                 CAKE BY THE OCEAN                                              Dnce
                                  CALIFORNIA GURLS                                        Katy Perry
                                     CALL ME MAYBE                                  Carly Rae Jepsen
                         CALL ME WHEN YOU'RE SOBER                                       Evanescence
                                        CALL ON ME                                        Eric Prydz
                                        CALL ON ME                                           Starley
                                  CALL OUT MY NAME                                        The Weeknd
                                          CALLAITA                                         Bad Bunny
                                             CALMA                                        Pedro Capo
                                    CAN'T BE TAMED                                       Miley Cyrus
                                  CAN'T BELIEVE IT                                                 T
                                CAN'T FEEL MY FACE                                        The Weeknd
                         CAN'T FIGHT THE MOONLIGHT                                       Leann Rimes
                      CAN'T GET YOU OUT OF MY HEAD                                     Kylie Minogue
                               CAN'T HELP BUT WAIT                                        Trey Songz
                                     CAN'T HOLD US                           Macklemore & Ryan Lewis
                                CAN'T HOLD US DOWN                                Christina Aguilera
                                  CAN'T LET YOU GO                                          Fabolous
                                        CAN'T STOP                             Red Hot Chili Peppers
                           CAN'T STOP THE FEELING!                                 Justin Timberlake
                             CAN'T TELL ME NOTHING                                        Kanye West
                                             CANDY                                   Robbie Williams
                                        CANDY SHOP                                           50 Cent
                                          CANDYMAN                                Christina Aguilera
                                         CARRY OUT                                         Timbaland
                                    CASE OF THE EX                                               Mya
                                         CATER 2 U                                   Destiny's Child
                              CAUGHT IN THE MIDDLE                                                A1
                                         CAUGHT UP                                             Usher
                                         CENTURIES                                      Fall Out Boy
                                     CHA CHA SLIDE                                         Dj Casper
                                    CHAIN HANG LOW                                             Jibbs
                             CHAINED TO THE RHYTHM                                        Katy Perry
                                          CHAMPION                                              Chip
                                        CHANDELIER                                               Sia
                       CHANGED THE WAY YOU KISS ME                                           Example
                                           CHANGES                                      Xxxtentacion
                                 CHASING PAVEMENTS                                             Adele
                                   CHASING THE SUN                                        The Wanted
                                     CHEAP THRILLS                                               Sia
                                       CHECK ON IT                                           Beyonce
                                    CHELSEA DAGGER                                     The Fratellis
                                        CHILL BILL                                         Rob $tone
                                        CHILL BILL                                         Rob $tone
                                             CHINA                                          Anuel Aa
                                        CIAO ADIOS                                              Anne
                                           CIRCLES                                       Post Malone
                                            CIRCUS                                    Britney Spears
                                           CLARITY                                              Zedd
                                           CLASSIC                                              Mkto
                            CLEANIN' OUT MY CLOSET                                            Eminem
                                    CLINT EASTWOOD                                          Gorillaz
                                            CLOCKS                                          Coldplay
                                            CLOCKS                                          Coldplay
                                             CLOSE                                        Nick Jonas
                                            CLOSER                                                Ne
                                            CLOSER                                          Lemaitre
                                            CLOSER                                  The Chainsmokers
                                             CLOUT                                            Offset
                              CLUB CAN'T HANDLE ME                                          Flo Rida
                                            CLUMSY                                            Fergie
                                              COCO                                      O.t. Genasis
                                              COLD                                          Maroon 5
                                       COLD AS ICE                                            M.o.p.
                                        COLD WATER                                       Major Lazer
                                    COLLARD GREENS                                       Schoolboy Q
                                     COME & GET IT                                      Selena Gomez
                                 COME ON OVER BABY                                Christina Aguilera
                                        COME TO ME                                             Diddy
                                      COME WITH ME                                        Special D.
                                  COMFORTABLY NUMB                                   Scissor Sisters
                                       COMING HOME                                             Diddy
                                         COMMANDER                                     Kelly Rowland
                                       COMPLICATED                                     Avril Lavigne
                                         CON CALMA                                      Daddy Yankee
                                         CONFIDENT                                       Demi Lovato
                                   CONGRATULATIONS                                       Post Malone
                                    CONTROL MYSELF                                         Ll Cool J
                                        COOKIE JAR                                  Gym Class Heroes
                                              COOL                                      Gwen Stefani
                               COOL FOR THE SUMMER                                       Demi Lovato
                                         COOL GIRL                                           Tove Lo
                                         COOL KIDS                                         Echosmith
                                    COOLER THAN ME                                       Mike Posner
                                           CORAZON                                            Maluma
                                    COUNTING STARS                                       Onerepublic
                                   COUNTRY GRAMMAR                                             Nelly
                                    CRACK A BOTTLE                                            Eminem
                                        CRANK THAT                                        Soulja Boy
                                        CRANK THAT                                        Soulja Boy
                                    CRASH AND BURN                                     Savage Garden
                                             CRAZY                                                 K
                                             CRAZY                                    Gnarls Barkley
                                     CRAZY IN LOVE                                           Beyonce
                                          CRIMINAL                                     Natti Natasha
                                          CROSS ME                                        Ed Sheeran
                                        CROSSROADS                                     Blazin' Squad
                                      CRUEL SUMMER                                      Taylor Swift
                                            CRUISE                              Florida Georgia Line
                                             CRUSH                                   David Archuleta
                                       CRY FOR YOU                                         September
                                       CRY FOR YOU                                         September
                                    CRY ME A RIVER                                 Justin Timberlake
                                      DADDY ISSUES                                 The Neighbourhood
                                            DAKOTA                                     Stereophonics
                                           DAMAGED                                       Danity Kane
                                             DAMN!                                       Youngbloodz
                                     DANCE - DANCE                                      Fall Out Boy
                                       DANCE AGAIN                                    Jennifer Lopez
                                      DANCE MONKEY                                       Tones And I
                                     DANCE WITH ME                                    Debelah Morgan
                                      DANCE WIV ME                                     Dizzee Rascal
                                 DANCING ON MY OWN                                             Robyn
                           DANCING WITH A STRANGER                                         Sam Smith
                              DANGER! HIGH VOLTAGE                                      Electric Six
                                         DANGEROUS                                Kardinal Offishall
                                   DANGEROUS WOMAN                                     Ariana Grande
                                       DANGEROUSLY                                      Charlie Puth
                                   DANI CALIFORNIA                             Red Hot Chili Peppers
                                      DANZA KUDURO                                           Lucenzo
                                              DARE                                          Gorillaz
                                        DARK HORSE                                        Katy Perry
                                      DAY 'N' NITE                                          Kid Cudi
                                          DAYLIGHT                                          Maroon 5
                                        DAYS GO BY                                       Dirty Vegas
                                     DEAD AND GONE                                              T.i.
                                      DEAR DARLIN'                                         Olly Murs
                          DEAR MARIA - COUNT ME IN                                      All Time Low
                                           DEJA VU                                           Beyonce
                                            DEMONS                                   Imagine Dragons
                                       DESERT ROSE                                             Sting
                                         DESPACITO                                        Luis Fonsi
                              DESTINATION CALABRIA                                      Alex Gaudino
                                            DEUCES                                       Chris Brown
                                          DIAMONDS                                           Rihanna
                        DIAMONDS FROM SIERRA LEONE                                        Kanye West
                                             DIARY                                       Alicia Keys
                                   DIE ANOTHER DAY                                           Madonna
                                         DIE YOUNG                                             Kesha
                                       DIFFERENCES                                          Ginuwine
                                           DILEMMA                                             Nelly
                                        DIP IT LOW                                  Christina Milian
                                            DIRRTY                                Christina Aguilera
                            DIRT OFF YOUR SHOULDER                                               Jay
                                  DIRT ROAD ANTHEM                                      Jason Aldean
                               DIRTY LITTLE SECRET                                           The All
                               DIRTY LITTLE SECRET                                           The All
                                     DISCO INFERNO                                           50 Cent
                                         DISTURBIA                                           Rihanna
                         DJ GOT US FALLIN' IN LOVE                                             Usher
                                              DNA.                                    Kendrick Lamar
                                  DO I WANNA KNOW?                                    Arctic Monkeys
                                       DO IT AGAIN                                           Pia Mia
                                 DO IT LIKE A DUDE                                          Jessie J
                                       DO IT TO IT                                           Cherish
                                          DO RE MI                                         Blackbear
                                      DO YOU KNOW?                                  Enrique Iglesias
                            DO YOU REALLY LIKE IT?                                     Dj Pied Piper
                                   DO YOU REMEMBER                                          Jay Sean
                                    DO YOU WANT TO                                   Franz Ferdinand
                             DOESN'T REALLY MATTER                                     Janet Jackson
                                        DOIN' TIME                                      Lana Del Rey
                                            DOMINO                                          Jessie J
                                             DON'T                                        Ed Sheeran
                                             DON'T                                     Bryson Tiller
                                             DON'T                                     Bryson Tiller
                                DON'T CALL ME BABY                                    Madison Avenue
                                  DON'T CALL ME UP                                             Mabel
                                         DON'T CHA                                The Pussycat Dolls
                             DON'T FORGET ABOUT US                                      Mariah Carey
                                     DON'T GIVE UP                                           Chicane
                            DON'T HOLD YOUR BREATH                                Nicole Scherzinger
                                 DON'T LET ME DOWN                                  The Chainsmokers
                               DON'T LET ME GET ME                                              P!nk
                                         DON'T LIE                                   Black Eyed Peas
                            DON'T LOVE YOU NO MORE                                       Craig David
                                      DON'T MATTER                                              Akon
                                        DON'T MIND                                        Kent Jones
                         DON'T PHUNK WITH MY HEART                                   Black Eyed Peas
                                   DON'T START NOW                                          Dua Lipa
                                 DON'T STOP MOVIN'                                          S Club 7
                              DON'T STOP THE MUSIC                                           Rihanna
                              DON'T STOP THE PARTY                                           Pitbull
                                    DON'T TELL 'EM                                           Jeremih
