                                              Reporte de Prueba de Spotify
========================================================================================================================
                                 Artista                    Total Reproducciones                                 Generos
                             Celine Dion                                  471573                                     pop
                            3 Doors Down                                  233933                          pop/rock/metal
                             Carl Thomas                                  226760                                 pop/R&B
                                Mystikal                                  256973                             hip hop/pop
                                    Fuel                                  236866                          rock/pop/metal
                           Savage Garden                                  535092                                     pop
                                Westlife                                  231760                                     pop
                              All Saints                                  268746                                     pop
                             Erykah Badu                                  761066                             hip hop/R&B
                            Marc Anthony                                  347106                               pop/latin
                         Matchbox Twenty                                  256133                                pop/rock
                               Gabrielle                                  219093                                 pop/R&B
                                   Creed                                  504893                          pop/rock/metal
                               The Corrs                                  207506                       pop/Folk/Acoustic
                                     Joe                                  296693                                 pop/R&B
                                 Wheatus                                  241666                                     pop
                                   Nelly                                 1013292                         hip hop/pop/R&B
                                  Shaggy                                  227600                             hip hop/pop
                           Nelly Furtado                                 1396825                       hip hop/pop/latin
                                 Shakira                                  196160                               pop/latin
                         Jimmy Eat World                                  165853                                rock/pop
                                   Train                                  259933                                     pop
                          Geri Halliwell                                  254640                                     pop
                            Blu Cantrell                                  250706                                 pop/R&B
                           Mary J. Blige                                  920278                                 pop/R&B
                               Faithless                                  222435                    pop/Dance/Electronic
                                   Lasgo                                  434733                                     pop
                                     iio                                  253586                        Dance/Electronic
                             Emma Bunton                                  241000                                     pop
                                     112                                  264933                         hip hop/pop/R&B
                                    Blue                                  223546                                     pop
                         Jessica Simpson                                  194026                                 pop/R&B
                              Crazy Town                                  216733                              rock/metal
                         Michael Jackson                                  337733                                 pop/R&B
                                     Eve                                  230133                         hip hop/pop/R&B
                          Jennifer Lopez                                  246160                         hip hop/pop/R&B
                                  Brandy                                  271626                         hip hop/pop/R&B
                              Nickelback                                  223840                              rock/metal
                               Daft Punk                                  320357                hip hop/Dance/Electronic
                                 Outkast                                  270506                             hip hop/pop
                                  Fragma                                  213346                    pop/Dance/Electronic
                                    Dido                                  447533                                     pop
                                  P.O.D.                                  469266                              rock/metal
                        Christina Milian                                  906532                         hip hop/pop/R&B
                           Roger Sanchez                                  452906                        Dance/Electronic
                                Gorillaz                                  340920                                 hip hop
                                    2Pac                                  266506                                 hip hop
                                   Tamia                                  285386                                 pop/R&B
                              Jamiroquai                                  842866                                     pop
                                    Case                                  284666                         hip hop/pop/R&B
                                    Five                                  411719                                     pop
                            Rui Da Silva                                  213133                        Dance/Electronic
                          Alien Ant Farm                                  209266                              rock/metal
                            Erick Sermon                                  223133                             hip hop/pop
                                     D12                                  304506                        hip hop/pop/rock
                                   Usher                                  210813                         hip hop/pop/R&B
                           Atomic Kitten                                  684039                                     pop
                                 Afroman                                  430333                                 hip hop
                                S Club 7                                  233626                                     pop
                     The Supermen Lovers                                  767706                        Dance/Electronic
                                     Mis                                  207400                    pop/Dance/Electronic
                                    Enya                                  666799         World/Traditional/Folk/Acoustic
                                   Steps                                  840359                    pop/Dance/Electronic
                       Sunshine Anderson                                  295826                                 pop/R&B
                           Lenny Kravitz                                  231666                                rock/pop
                      Daniel Bedingfield                                  162333                                     pop
                            DB Boulevard                                  231166                        Dance/Electronic
                                 Ja Rule                                  772012                         hip hop/pop/R&B
                           DJ Pied Piper                                  438253                        Dance/Electronic
                         Musiq Soulchild                                  566799                                 pop/R&B
                           So Solid Crew                                  302826                        Dance/Electronic
                           Basement Jaxx                                  520253                    pop/Dance/Electronic
                                Ludacris                                  300933                             hip hop/pop
                             Trick Daddy                                  765274                             hip hop/pop
                                  Travis                                  228800                                rock/pop
                                     OPM                                  695038                                    rock
                                       K                                  262773                                 pop/R&B
                                  Staind                                  264706                              rock/metal
                                     3LW                                  263440                                 pop/R&B
                                Ginuwine                                  265533                         hip hop/pop/R&B
                               Lifehouse                                  508360                          pop/rock/metal
                           Avril Lavigne                                  823986                                     pop
                         Vanessa Carlton                                  237493                       Folk/Acoustic/pop
                             The Calling                                  208600                                     pop
                                No Doubt                                  526786                                rock/pop
                             Truth Hurts                                  226440                                 pop/R&B
                            Busta Rhymes                                  324306                             hip hop/pop
                                   Diddy                                  583372                             hip hop/pop
                          Angie Martinez                                  915612                                     pop
                             Las Ketchup                                  430853                                     pop
                           Holly Valance                                  479426                    pop/Dance/Electronic
                               Sugababes                                  236426                                 pop/R&B
                          Marilyn Manson                                  200426                              rock/metal
                            Chad Kroeger                                  453680                                   metal
                                 Scooter                                  432716                    pop/Dance/Electronic
                    Disturbing Tha Peace                                 2194219                             hip hop/pop
                                    Khia                                  222560                                 pop/R&B
                                   Tweet                                  237800                         hip hop/pop/R&B
                            Gareth Gates                                  663972                                     pop
                                     B2K                                  522146                         hip hop/pop/R&B
                             Dirty Vegas                                  628012                        Dance/Electronic
                                 Fat Joe                                  267093                             hip hop/pop
                               Liberty X                                  237359                                     pop
                               LL Cool J                                  529586                         hip hop/pop/R&B
                               Sean Paul                                  751493                             hip hop/pop
                             Faith Evans                                  267160                         hip hop/pop/R&B
                        Charli Baltimore                                  318213                                     pop
                                N.O.R.E.                                  502919                             hip hop/pop
                              Big Brovaz                                  703946                                     pop
                                 Ashanti                                  472746                         hip hop/pop/R&B
                            Sophie Ellis                                  230013                    pop/Dance/Electronic
                       Justin Timberlake                                  283626                                     pop
                                      A1                                  482839                                     pop
                           Delta Goodrem                                  811346                                     pop
                             Alicia Keys                                  495866                                 pop/R&B
                                Coldplay                                  469119                                rock/pop
                              Big Tymers                                  813145                             hip hop/pop
                                DJ Sammy                                 1204719                                     pop
                                  Camron                                  435772                             hip hop/pop
                           Elvis Presley                                  428439                     rock/easy listening
                       Alanis Morissette                                  899586                       pop/Folk/Acoustic
                       The Goo Goo Dolls                                  749573                                pop/rock
                          Puddle Of Mudd                                  216760                              rock/metal
                           Blazin' Squad                                  485279                                     pop
                                 Default                                  268693                          rock/pop/metal
                         Michelle Branch                                  217680                       pop/Folk/Acoustic
                                 50 Cent                                 1695757                             hip hop/pop
                                 Beyonce                                  770025                                 pop/R&B
                          Counting Crows                                  225426                                rock/pop
                         Black Eyed Peas                                  272533                             hip hop/pop
                                t.A.T.u.                                  698466                                     pop
                           Benny Benassi                                  285570                    pop/Dance/Electronic
                              Panjabi MC                                  568972               World/Traditional/hip hop
                                 Jamelia                                  909360                                     pop
                             Evanescence                                  616079                                   metal
                        Three Days Grace                                  736879                              rock/metal
            Lil Jon & The East Side Boyz                                  324600                             hip hop/pop
                               Baby Bash                                  521799                   hip hop/pop/R&B/latin
                       The White Stripes                                 1426811                              rock/blues
                             Youngbloodz                                  298600                             hip hop/pop
                                Lil' Kim                                  604799                         hip hop/pop/R&B
                                   Trapt                                 1268661                              rock/metal
                              Simply Red                                  199040              rock/R&B/Folk/Acoustic/pop
                                 Lumidee                                  184906                                 pop/R&B
                             Girls Aloud                                  221426                    pop/Dance/Electronic
                                  Room 5                                  506079                        Dance/Electronic
                            Fatman Scoop                                  164506                                 hip hop
                       Pharrell Williams                                  963572                             hip hop/pop
                                  Chingy                                  250746                         hip hop/pop/R&B
                                    Maya                                  783879                                 pop/R&B
                               Ultrabeat                                 1185613                    pop/Dance/Electronic
                               Frankie J                                  491253                         hip hop/pop/R&B
                              Snoop Dogg                                  299146                             hip hop/pop
                                 Floetry                                  268373                         hip hop/pop/R&B
                            Electric Six                                  457906                                    rock
                          Rachel Stevens                                  208386                    pop/Dance/Electronic
                                     Nas                                  467480                                 hip hop
                                  Tyrese                                  555026                         hip hop/pop/R&B
                            Amanda Perez                                  932466                                 pop/R&B
                           Kelly Rowland                                  838412                         hip hop/pop/R&B
                           Junior Senior                                  654172                                     pop
                              Audioslave                                  293960                              rock/metal
                                  Jaheim                                  478279                                 pop/R&B
                                  Monica                                  497239                                 pop/R&B
                               The Roots                                  507973                                 hip hop
                                Fabolous                                  538373                         hip hop/pop/R&B
                          Kelly Clarkson                                  214773                                 pop/R&B
                              Switchfoot                                 1238545                                rock/pop
                          Good Charlotte                                  447199                              rock/metal
                            Wayne Wonder                                  202013                             hip hop/R&B
                             The Strokes                                  219826                                    rock
                              Will Young                                  437799                                     pop
                                Maroon 5                                  456573                                     pop
                              Hoobastank                                  666813                          pop/rock/metal
                            Daddy Yankee                                  450026                                   latin
                                  O'Zone                                  433164                                     pop
                            Terror Squad                                  247426                                 hip hop
                            Gwen Stefani                                  433492                                 pop/R&B
                              The Rasmus                                  444226                                   metal
                                 Houston                                  236520                             hip hop/pop
                             Lloyd Banks                                  581466                             hip hop/pop
                                    Akon                                  235066                                     pop
                                Jay Sean                                  489266                         hip hop/pop/R&B
                            Mario Winans                                  257333                                     pop
                              Eric Prydz                                  413373                    pop/Dance/Electronic
                                   Ciara                                  223000                                 pop/R&B
                                   Kelis                                  206106                pop/R&B/Dance/Electronic
                              Spiderbait                                  473293                                    rock
                          George Michael                                  265826                                     pop
                                Nina Sky                                  445893                                 pop/R&B
                             Petey Pablo                                  474212                             hip hop/pop
                                  Juanes                                  461879                               pop/latin
                         Ying Yang Twins                                  913346                             hip hop/pop
                                    JoJo                                  845411                         hip hop/pop/R&B
                       The Shapeshifters                                 1693557                        Dance/Electronic
                            Kevin Lyttle                                  723945                                 hip hop
                                    T.I.                                  493506                             hip hop/pop
                               DJ Casper                                  222146                                     pop
                                  Twista                                  434333                         hip hop/pop/R&B
                                 N.E.R.D                                  213786                                 hip hop
                                      U2                                  423826                  World/Traditional/rock
                         Franz Ferdinand                                  237026                                    rock
                                       J                                  247106                             hip hop/pop
                                       G                                  265026                             hip hop/pop
                               Lil' Flip                                  225173                             hip hop/pop
                              Kanye West                                  193733                                 hip hop
                                   Lemar                                  828119                                     R&B
                               Green Day                                  920465                                    rock
                         Scissor Sisters                                  490973               pop/rock/Dance/Electronic
                              Special D.                                  690519                                     pop
                                   Eamon                                  998319                                     pop
                             Katie Melua                                 1241851                 pop/easy listening/jazz
                                   Lloyd                                  501280                         hip hop/pop/R&B
                                     LMC                                  171546                        Dance/Electronic
                             The Streets                                  254266                hip hop/Dance/Electronic
                                JUVENILE                                  248200                             hip hop/pop
                              Gary Jules                                 1117572                                     pop
                          Ashlee Simpson                                  217440                                     pop
                                   Mario                                 1039599                                 pop/R&B
                                 Rihanna                                  454586                         hip hop/pop/R&B
                             James Blunt                                  418599                                     pop
                      The Pussycat Dolls                                  533346                                 pop/R&B
                           Daniel Powter                                  233640                                     pop
                              Crazy Frog                                  982811                                     pop
                   The Chemical Brothers                                 1108572                        Dance/Electronic
                              Fort Minor                                  230493                        hip hop/pop/rock
                                The Game                                  449759                             hip hop/pop
                             Chris Brown                                  229866                         hip hop/pop/R&B
                             Bodyrockers                                 2790024                   rock/Dance/Electronic
                                   Jeezy                                  498106                             hip hop/pop
                            David Banner                                 1452201                             hip hop/pop
                              Trillville                                  283454                             hip hop/pop
                                     D4L                                  224253                             hip hop/pop
                              Rob Thomas                                  453503                       pop/Folk/Acoustic
                          Brian McFadden                                  229826                                     pop
                                Bobby V.                                  258666                         hip hop/pop/R&B
                            Pretty Ricky                                  477319                         hip hop/pop/R&B
                                  Amerie                                 1477318                         hip hop/pop/R&B
                       Natalie Imbruglia                                  708399                       pop/Folk/Acoustic
                  Thirty Seconds To Mars                                  671426                                    rock
                              Will Smith                                 1806491                             hip hop/pop
                           Kaiser Chiefs                                  423546                                    rock
                                   Ray J                                  996679                         hip hop/pop/R&B
                              Papa Roach                                  208199                              rock/metal
                          Arctic Monkeys                                  173680                                    rock
                             Shayne Ward                                  219600                                     pop
                                       T                                 1658825                         hip hop/pop/R&B
                            Ryan Cabrera                                  657079                                     pop
                           Stereophonics                                  297426                                rock/pop
                             KT Tunstall                                 1040425     World/Traditional/pop/Folk/Acoustic
                                 The All                                  911839                                rock/pop
                              Toby Keith                                  227840                                 country
                            Foo Fighters                                  444959                              rock/metal
                           Amy Winehouse                                 1122198                                     R&B
                          Gnarls Barkley                                  416386                             hip hop/R&B
                             Bob Sinclar                                  719319                    pop/Dance/Electronic
                          Chamillionaire                                  861719                             hip hop/pop
                          Fedde Le Grand                                  605892                    pop/Dance/Electronic
                                 Cherish                                 1232053                         hip hop/pop/R&B
                                    Muse                                  212439                                    rock
                                Infernal                                  396492                                     pop
                                  Cassie                                  192213                                 pop/R&B
                                       E                                  202720                             hip hop/pop
                                 Lil Jon                                  503746                             hip hop/pop
                       Armand Van Helden                                  190000                    pop/Dance/Electronic
                    The Notorious B.I.G.                                  286186                                 hip hop
                                Yung Joc                                  241840                             hip hop/pop
                               Take That                                 1191772                                     pop
                                  Fergie                                  241306                                 pop/R&B
                                 Cascada                                  199120            hip hop/pop/Dance/Electronic
                                    Meck                                 1848385                                     pop
                      Dem Franchize Boyz                                 1141309                             hip hop/pop
                            Fall Out Boy                                  867278                                    rock
                             Leona Lewis                                  257293                                 pop/R&B
                             Nick Lachey                                  749559                                     pop
                                   Jibbs                                  207586                             hip hop/pop
                           Rascal Flatts                                  478906                                 country
                            Keyshia Cole                                  466519                         hip hop/pop/R&B
                              Lily Allen                                  196893                                     pop
                                      Ne                                  220853                                 pop/R&B
                           Bubba Sparxxx                                  736799                     hip hop/pop/country
                                  Hinder                                 1509811                          pop/rock/metal
                          The Raconteurs                                  215266                                    rock
                           The Fratellis                                  215306                                    rock
                     Panic! At The Disco                                  624958                                    rock
                                   Keane                                  892838                                     pop
                                   Orson                                  167493                                     pop
                     Natasha Bedingfield                                  697039                                     pop
                              Razorlight                                  249760                                rock/pop
                          James Morrison                                  213173                                 pop/R&B
                             Snow Patrol                                  273333              World/Traditional/rock/pop
                                The Fray                                  262533                                     pop
                              Sandi Thom                                  151640                   World/Traditional/pop
                     My Chemical Romance                                  311106                                    rock
                               The Kooks                                 1267211                                    rock
                             Mark Ronson                                 1277225                                     pop
                         Plain White T's                                  232533                                     pop
                               Timbaland                                  874159                         hip hop/pop/R&B
                                Ida Corr                                  375053                                     pop
                            Alex Gaudino                                  223111                        Dance/Electronic
                               September                                  209800                    pop/Dance/Electronic
                        Gym Class Heroes                                 2029377                             hip hop/pop
                              Soulja Boy                                  468999                             hip hop/pop
                           Camille Jones                                 1307545                                     pop
                               Shop Boyz                                  965385                             hip hop/pop
                           Finger Eleven                                  208106                              rock/metal
                                    MiMS                                  506679                             hip hop/pop
                                 Seether                                  447466                              rock/metal
                           Calvin Harris                                 1559665            hip hop/pop/Dance/Electronic
                                Daughtry                                  911013                          pop/rock/metal
                                     Unk                                  173040                             hip hop/pop
                                 Klaxons                                  438253                                    rock
                      Baby Boy Da Prince                                  563706                             hip hop/pop
                                 Omarion                                  548799                         hip hop/pop/R&B
                            All Time Low                                 1325291                                    rock
                                      T2                                 1145212                        Dance/Electronic
                                   Robyn                                  254920                    pop/Dance/Electronic
                                Paramore                                  634640                                pop/rock
                                    Huey                                  484559                             hip hop/pop
                                   Plies                                  524786                         hip hop/pop/R&B
                               Jim Jones                                  911492                             hip hop/pop
              The Red Jumpsuit Apparatus                                  192000                                     pop
                                    MIKA                                  187733                                     pop
                           Sean Kingston                                  419586                         hip hop/pop/R&B
                        Carrie Underwood                                  773038                             pop/country
                               Just Jack                                  295933                        Dance/Electronic
                              Bone Thugs                                  515440                             hip hop/pop
                                Rich Boy                                  504413                             hip hop/pop
                  Manic Street Preachers                                  470866                                rock/pop
                           Elliott Yamin                                  261320                                     pop
                             Wyclef Jean                                  241133                                     pop
                         Boys Like Girls                                  206520                                     pop
                              J. Holiday                                  512866        hip hop/pop/R&B/Dance/Electronic
                                Flo Rida                                  846746                             hip hop/pop
                              Katy Perry                                  179640                                     pop
                      Kardinal Offishall                                 1646945                         hip hop/pop/R&B
                                  Madcon                                  216146                             hip hop/pop
                       Guru Josh Project                                  638439                                 hip hop
                               Lil Wayne                                  495386                             hip hop/pop
                              Basshunter                                  148186                                     pop
                               will.i.am                                 3173282                             hip hop/pop
                           Colby O'Donis                                 1472105                         hip hop/pop/R&B
                             Miley Cyrus                                  190453                                     pop
                            Alesha Dixon                                  845905                                     pop
                           Dizzee Rascal                                  204093            hip hop/pop/Dance/Electronic
                         Gabriella Cilmi                                  202133                                     R&B
                              Jack White                                  262240                              rock/blues
                           The Offspring                                 1024852                          rock/pop/metal
                                 Estelle                                  488226                                     R&B
                             Saving Abel                                  222826                              rock/metal
                                Pendulum                                  313346                        Dance/Electronic
                             Danity Kane                                  565159                                 pop/R&B
                                  M.I.A.                                  906983                                pop/rock
                                    MGMT                                  940506                                    rock
                          The Ting Tings                                  171226               pop/rock/Dance/Electronic
                                     The                                  734932                         hip hop/pop/R&B
                                   Wiley                                  170480                hip hop/Dance/Electronic
                              Sam Sparro                                  472080                    pop/Dance/Electronic
                                 H two O                                  207476                        Dance/Electronic
                           Metro Station                                 1296452                                pop/rock
                              Trey Songz                                  455946                         hip hop/pop/R&B
                             OneRepublic                                  223853                                     pop
                         Alexandra Burke                                  217826                                     pop
                           Jordin Sparks                                  447293                                 pop/R&B
                           Kings of Leon                                  445719                                    rock
                                   Duffy                                  426920                                 pop/R&B
                         David Archuleta                                  213520                                     pop
                            Gavin DeGraw                                  426053                       pop/Folk/Acoustic
                         Jennifer Hudson                                  910265                  pop/R&B/easy listening
                             John Legend                                  284186                                 pop/R&B
                          Jonas Brothers                                  175093                                     pop
                             Lupe Fiasco                                  289000                             hip hop/pop
                                   Adele                                  489079                                 pop/R&B
                               Lady Gaga                                 1274758                                     pop
                            David Guetta                                  457493            hip hop/pop/Dance/Electronic
                            Taylor Swift                                  440906                                     pop
                                 Pitbull                                  238506                       hip hop/pop/latin
                                 Skillet                                  586706                          rock/pop/metal
                             The Prodigy                                  216026               rock/pop/Dance/Electronic
                                Kid Cudi                                  716613                                 hip hop
                                   Agnes                                 1402052                          nce/Electronic
                                 Jeremih                                 1390038                         hip hop/pop/R&B
                            Kevin Rudolf                                  706986                             hip hop/pop
                                  The xx                                 2130344                                    rock
                             Keri Hilson                                  460172                                 pop/R&B
                                  Cheryl                                  414253                    pop/Dance/Electronic
                          Tinchy Stryder                                  955119                    pop/Dance/Electronic
                              Pixie Lott                                  196520                    pop/Dance/Electronic
                                     JLS                                  196640                                     pop
                                   3OH!3                                  192573                        hip hop/pop/rock
                             A.R. Rahman                                  222400                                     pop
                                   Drake                                 1344598                         hip hop/pop/R&B
                Selena Gomez & The Scene                                  202586                    pop/Dance/Electronic
                           The Veronicas                                  525666                    pop/Dance/Electronic
                            Jason Derulo                                  452826                             hip hop/pop
                       Empire of the Sun                                  939385               rock/pop/Dance/Electronic
                          Cobra Starship                                  196413                    pop/Dance/Electronic
                                 La Roux                                  454799                    pop/Dance/Electronic
                                Kasabian                                  252279                                    rock
                           Justin Bieber                                  426839                                     pop
                              Jamie Foxx                                  289746                         hip hop/pop/R&B
                            Jason Aldean                                 2793049                                 country
                               Shinedown                                 3006409                              rock/metal
                              Asher Roth                                  241933                             hip hop/pop
                          Mumford & Sons                                  655852                  Folk/Acoustic/rock/pop
                              Bruno Mars                                  462587                                     pop
                                 Stromae                                  764012                                     pop
                                   Kesha                                  199693                    pop/Dance/Electronic
                               Taio Cruz                                  413466                             hip hop/pop
                                    INNA                                  902382                                     pop
                       Far East Movement                                  216893                             hip hop/pop
                              Duck Sauce                                  384533                        Dance/Electronic
                                 Lucenzo                                  213986                                   latin
                                DJ Fresh                                  633338                    pop/Dance/Electronic
                             Edward Maya                                  184573                                     pop
                           Sidney Samson                                  779454                        Dance/Electronic
                     Swedish House Mafia                                 1888924                    pop/Dance/Electronic
                                    Iyaz                                  679666                             hip hop/pop
                       Waka Flocka Flame                                  700279                             hip hop/pop
                            Tinie Tempah                                  207653            hip hop/pop/Dance/Electronic
                             Mike Posner                                  599372            hip hop/pop/Dance/Electronic
                         Yolanda Be Cool                                  378078                        Dance/Electronic
                            Adam Lambert                                  745973                                     pop
                                Tim Berg                                  970052                    pop/Dance/Electronic
                      Cali Swag District                                 1608959                             hip hop/pop
                                  K'NAAN                                  426980                                     pop
                               DJ Khaled                                  606145                             hip hop/pop
                              Aloe Blacc                                  442079                                     R&B
                                   B.o.B                                  180480                             hip hop/pop
                               Shontelle                                  944439                                 pop/R&B
                                 Example                                 1133544                    pop/Dance/Electronic
                                  Plan B                                  208853                        Dance/Electronic
                           The Saturdays                                  207613                    pop/Dance/Electronic
                              The Wanted                                  911545                    pop/Dance/Electronic
                          Ellie Goulding                                  363746               pop/rock/Dance/Electronic
                    Two Door Cinema Club                                  614385              World/Traditional/rock/pop
                             Young Money                                  542039                             hip hop/pop
                      Scouting For Girls                                  706741                                pop/rock
                            Travie McCoy                                  211160                             hip hop/pop
                                Owl City                                  228346                                rock/pop
                                  Lady A                                  452920                             pop/country
                              Neon Trees                                  505332                                rock/pop
                              Kris Allen                                  212506                                     pop
                             Matt Cardle                                  226000                                     pop
                          The Band Perry                                  511443                                 country
                                   LMFAO                                  887865            hip hop/pop/Dance/Electronic
                          Alexandra Stan                                  879542                    pop/Dance/Electronic
                                Lykke Li                                 2443848                    pop/Dance/Electronic
                             Wiz Khalifa                                  658425                             hip hop/pop
                                Sak Noel                                 1511662                        Dance/Electronic
                               Olly Murs                                  202266                    pop/Dance/Electronic
                                Jessie J                                  610413                             hip hop/pop
                                     M83                                  905295         rock/pop/metal/Dance/Electronic
                                Labrinth                                  512546                                     pop
                      Nicole Scherzinger                                 3266743                    pop/Dance/Electronic
                                    Mann                                  224333                             hip hop/pop
                                  Miguel                                  949989                                 pop/R&B
                         Professor Green                                 1184188                        Dance/Electronic
                          Chase & Status                                  233666                        Dance/Electronic
                                    Chip                                  237293                hip hop/Dance/Electronic
                            Rizzle Kicks                                  382464                                 hip hop
                             Nicki Minaj                                  460266                             hip hop/pop
                              Mac Miller                                  165908                                 hip hop
                       Foster The People                                  669919                                rock/pop
                          Bad Meets Evil                                 1473344                             hip hop/pop
                           Blake Shelton                                 2085918                                 country
                          Hot Chelle Rae                                  739852                        hip hop/pop/rock
                               Grouplove                                  218013                  pop/rock/Folk/Acoustic
                         Christina Perri                                  944089                                     pop
                         Charlene Soraia                                  890848                                     pop
                        Carly Rae Jepsen                                  693746                    pop/Dance/Electronic
                                    fun.                                  250626                                rock/pop
                                     DEV                                  681292                    pop/Dance/Electronic
                                Skrillex                                 1382972            hip hop/pop/Dance/Electronic
                          Kendrick Lamar                                 1444405                                 hip hop
                                  MARINA                                  221075                    pop/Dance/Electronic
                                     PSY                                  930626                                     pop
                                  Avicii                                 1295836                    pop/Dance/Electronic
                 Asaf Avidan & the Mojos                                 1681571                                     pop
                  Florence + The Machine                                  218190               rock/pop/Dance/Electronic
                           Azealia Banks                                  204956                         hip hop/pop/R&B
                            James Arthur                                  440613                                     pop
                             Michel Telo                                  166866                           country/latin
                              Otto Knows                                  192866                    pop/Dance/Electronic
                               Icona Pop                                  156773                    pop/Dance/Electronic
                                    Tyga                                  203200                             hip hop/pop
                                  Grimes                                  694945               pop/rock/Dance/Electronic
                             Frank Ocean                                  964051                         hip hop/pop/R&B
                              The Script                                  435333                                pop/rock
                             ScHoolboy Q                                 1499419                             hip hop/pop
                                Rita Ora                                 1113784            hip hop/pop/Dance/Electronic
                              Alex Clare                                  256613                                    rock
                                  Alesso                                  402146                    pop/Dance/Electronic
                           Guy Sebastian                                  250080                                     pop
                                   Gotye                                  684097                                     pop
                           One Direction                                  432932                                     pop
                            Lana Del Rey                                  286253                                     pop
                             Emeli Sande                                  938332                                 pop/R&B
                              Disclosure                                  662457                    pop/Dance/Electronic
                                     alt                                 1128827                                    rock
                              Rudimental                                 1338983                    pop/Dance/Electronic
                             Demi Lovato                                  746052                                     pop
                              Little Mix                                  497119                                     pop
                              Cher Lloyd                                  471733                    pop/Dance/Electronic
                                   Lorde                                  190185                    pop/Dance/Electronic
                            Robin Thicke                                  263053                                 pop/R&B
                         Imagine Dragons                                  186813                                    rock
                 Macklemore & Ryan Lewis                                  716517                             hip hop/pop
                           Bingo Players                                  930892                    pop/Dance/Electronic
                             Naughty Boy                                  220779                        Dance/Electronic
                               Tom Odell                                  244360                                     pop
                                2 Chainz                                  227906                             hip hop/pop
                           Martin Garrix                                 1399524                    pop/Dance/Electronic
                             John Newman                                  417579                                     pop
                       The Neighbourhood                                  488253                                rock/pop
                      Sebastian Ingrosso                                  221272                    pop/Dance/Electronic
                          Capital Cities                                  192693                                     pop
                            Selena Gomez                                 1288243                                     pop
                          Klangkarussell                                 3476862                    pop/Dance/Electronic
                              A$AP Rocky                                  474132                                 hip hop
                                   Ylvis                                  461614                                 hip hop
                                  Baauer                                  427875                        Dance/Electronic
                              AWOLNATION                                  697893                                pop/rock
                             Duke Dumont                                  174853                    pop/Dance/Electronic
                             Storm Queen                                  377386                        Dance/Electronic
                                    Wale                                  680264                         hip hop/pop/R&B
                                   Birdy                                  660266                                     pop
                                Bastille                                  214205                                pop/rock
                         Bridgit Mendler                                 1432931                                     pop
