   NFP3266                                                                        Sabotaje
   IUI3314                                            El coronel no tiene quien le escriba
   CLG5566                                                     Pantaleon y las visitadoras
   YZV6954                                                        Corazon de las tinieblas
   OWO8918                                                                          Origen
   VFO4193                                                             La catedral del mar
   USK1312                                                                Un mundo sin fin
   BUY4915                                                            La sombra del aguila
   BUC5125                                                          El faro de Stalingrado
   ICU6090                                                             La fiesta del chivo
   WHU1288                                                                La hija italiana
   EJE8138                                                                    Yawar fiesta
   OCI8959                                                               David Copperfield
   ACM9578                                                                 Amadis de gaula
   AKU9740                                                     Conversacion en La Catedral
   EYV0597                                                             Cuentos de la selva
   PHL4155                                                                       El idiota
   ZQD4253                       Harry Potter y el misterio del principe ( Harry Potter 6)
   KBF4088                        Harry Potter y el prisionero de Azkaban (Harry Potter 3)
   MKB4184                                                                        Napoleon
   HVZ1228                                                                        El husar
   FNM6936                                                                  Divina comedia
   HHR5161                                                       El francotirador paciente
   JNC0786                                                                         Mi isla
   HGN9910                                                          La ciudad y los perros
   XMT1768                                                       Los diarios de Adan y Eva
   RZX8790                                                         El senior de las moscas
   HSE3213                                                   Por quien doblan las campanas
   SMW0186                                                            La sombra del viento
   QMI4747                                                 La isla de los amores infinitos
   QVX9089                                                                   Madame Bovary
   QFG6515                                                            El libro de la selva
   PGK5617                                                                     El Rey Lear
   ULM8751                                                                       La sumisa
   ELC8965                                                      Las aventuras de Rocambole
   EBT7258                                                                  Linea de fuego
   LRV5687                                                     La guerra del fin del mundo
   DXP8640                                                       El retrato de Dorian Gray
   ZQY9966                                                               El suenio del tio
   FMX8255                                               Las aventuras de Huckleberry Finn
   KCI5219                                                          El Maestro y Margarita
   QYH7021                                                Historia del siglo XX: 1914-1991
   GOG7446                                                    El guardian entre el centeno
   CXW5879                                                 Los barcos se pierden en tierra
   EBE0042                                                            Capitanes intrepidos
   DVR5984                                                           Mil soles esplendidos
   ECT0289                                                                 Juego de tronos
   BDK4183                                                              La isla del tesoro
   MIK5358                                                     La transformacion del mundo
   JGG5049                                                                El eterno marido
   USM9579                                                                      El perfume
   JXK3142                                                                    En el camino
   JJV7549                                         Los hombres que no amaban a las mujeres
   DPZ8059                                                       El hombre que pudo reinar
   EEJ4830                                                                   El Principito
   DDU0764                                                          Dioses tumbas y sabios
   PQZ1316                                                                       La Eneida
   ZAL2738                                                                            1984
   MNL3677                                                                       El Hobbit
   ZLE2920                                                       Historia de la Edad Media
   GXB5722                                                             Cumbres borrascosas
   BSX2922                                                         Una historia de Espania
   TVR7016                                                     El corazon de las tinieblas
   USE5598                                                              Fortaleza digitali
   ETV5056                                                                       Moby Dick
   SHF2360                                                                Un dia de colera
   CPE5718                                                            Paris era una fiesta
   CMP1150                                                        Don Quijote de la Mancha
   WWT1581                                                              La piel del tambor
   GKG6581                                                                  Hombres buenos
   ZYF6683                             Harry Potter y la Orden del Fenix ( Harry Potter 5)
   PPI9259                                                                      Revolucion
   LJE6687                                                              El codigo Da Vinci
   RWW7975                                                            El nombre de la rosa
   TMR5068                                                            Los tres mosqueteros
   VOI0019                                                   El evangelio segun Jesucristo
   QBL9575                                                                  Los miserables
   WMN3648                                                               Pasaje a la India
   CRY6839                                                                     Ricardo III
   FWP8469                                                       Justine o los infortunios
   CTW5846                                                            El medievo cristiano
   ZNF2241                                      El extranio caso del Dr. Jekyll y Mr. Hyde
   YKQ9278                                             Alicia en el pais de las maravillas
   WYE2119                                                                       El asedio
   JZC7527                                                           El tambor de hojalata
   EWI3090                                                             La seniora Dalloway
   HWM4049                                                               Romper el circulo
   DDQ0721                                                     En busca del tiempo perdido
   UEJ1235                                                              Grandes esperanzas
   UXZ2187                                    Los 7 habitos de la gente altamente efectiva
   PWX7633                                                    La tia Julia y el escribidor
   XIU6076                                                           Rebelion en la granja
   LJD9991                                                                       Baudolino
   DND9446                                                       Lo que el viento se llevo
   HPP3360                                                           El pintor de batallas
   HRT0664                                                 Los funerales de la Mama Grande
   SFR1226                                                      Ana la de las tejas verdes
   OWU1533                                                                Cuatro principes
   JHP0390                                                         El conde de Montecristo
   NBE1339                                                            Palmeras en la nieve
   ISY5671                             Harry Potter y la piedra filosofal (Harry Potter 1)
   MWB2923                                                                      Mudlarking
   KPE7420                                                                       Jane Eyre
   FKK6524                                                  Los renglones torcidos de Dios
   VTY5195                                                              Un asunto de honor
   QVU3526                                                                Vidas intrepidas
   UCJ9882                                                          El reino de este mundo
   OBD2849                                                           El invierno del mundo
   XCC4070                                                                     El italiano
   YJE2497                                                          Progreso del peregrino
   WGA2754                                                                   El club Dumas
   IUG2294                                                                      El proceso
   ZPD6557                                                             El ruido y la furia
   GWE4133                                                   El gato negro y otros cuentos
   TOJ1764                                                         Ensayo sobre la ceguera
   KTA8754                                                                          Ulises
   RLQ7170                                                    El tango de la guardia vieja
   UQL8643                                                                         Dracula
   PZP7176                                                        La caida de los gigantes
   THT4126                      Harry Potter y las reliquias de la muerte (Harry Potter 7)
   XJT3661                                                      Las aventuras de Tom Sawye
   QCA9584                                                           Dr. Jekyll y Mr. Hyde
   IMK4892                                                             La tabla de Flandes
   LQA8555                                                                Rimas y leyendas
   MBQ9495                                                             Tormenta de espadas
   VMW6915                                                     Travesuras de la ninia mala
   CUV7849                                                                       Ficciones
   WOF6634                                                               El problema final
   WCZ0845                                                          El cementerio de Praga
   FBO8724                                                          El pendulo de Foucault
   LVP3355                                                Las aventuras de Sherlock Holmes
   SBF7018                                                          El handicap de la vida
   PRD1648                                                           Relato de un naufrago
   GQC1814                                                      Apocalipticos e integrados
   FWK6327                                                                        El doble
   IMC3155                                                        Los pilares de la tierra
   NBL8415                                                               Espania con honra
   TDY0497                                                               La chica del tren
   MSW8176                                                               Todo se desmorona
   JLQ6546                                                              El retorno del Rey
   CKC4095                                                                  El Gran Gatsby
   OMN0252                                                          Los hermanos Karamazov
   HCT8192                                                                          Diario
   JTX5687                                            Veinte mil leguas de viaje submarino
   WPU8819                                                                  Tristam Shandy
   KWL0415                                                                            1923
   MVU0233                                                                La conspiracioni
   VHK9148                                                 Historia y cronologia del mundo
   SQB7146                                                 Cronica de una muerte anunciada
   HLB4548                                              Frankenstein o el moderno Prometeo
   HGQ0131                                                                          Odisea
   ILG7766                                                                          Iliada
   DDT0017                                                        Viaje al fin de la noche
   XIU2628                                                                  Cabo Trafalgar
   GPH1575                                                 La gran aventura de los griegos
   IBP7411                                                                           Nunca
   TBZ2657                                                                          Olalla
   NEO9165                                                               Emperador de Roma
   JBR9372                                                           El maestro de esgrima
   RII8346                                                                  Las dos Dianas
   CRA4157                                                         El forastero misterioso
   ZJM1292                                                             El suenio del celta
   SBU9053                                                                 Tierra arrasada
   LDL2628                               Harry Potter y el caliz de fuego (Harry Potter 4)
   QRH6838                                                          Las cronicas de Narnia
   DVL7760                                                                           Falco
   PVS2464                                                                         Sapiens
   VPN5351                                                                       El Amante
   YJI3961                                                           Cien anios de soledad
   EDQ0577                                                        Las aventuras de Pinocho
   SFZ1256                                                                       La Iliada
   VFZ9435                                                        El olor de la Edad Media
   LQL0880                                                              Contra el fascismo
   ETZ8565                                                      Confesiones de una mascara
   ZOY6470                                                               El viejo y el mar
   YDK7687                                                         El otonio del patriarca
   IIM5175                                                          Diamantes y pedernales
                Total Libros: 267
